tagihan_id;mahasiswa;tanggal_jatuh_tempo;is_terlambat;nominal_tagihan;nominal_harus_bayar;jenis_pembayaran;tahun_ajaran;semester_tagihan;jenis_semester;bulan_jatuh_tempo;angkatan;kode_prodi;nama_prodi;jalur_masuk;subjalur_masuk;jenis_kelamin;statusmhs_periode;is_statusmhs_periode_missing;kps_status;is_kps_status_missing;jumlah_saudara;is_jumlah_saudara_missing;penghasilan_ortu_label;is_penghasilan_ortu_missing;pendidikan_ayah_label;is_pendidikan_ayah_missing;pendidikan_ibu_label;is_pendidikan_ibu_missing;pekerjaan_ayah;is_pekerjaan_ayah_missing;pekerjaan_ibu;is_pekerjaan_ibu_missing;prev_tagihan_count;prev_late_count;prev_late_ratio;prev_cicilan_count;prev_cicilan_ratio
2527;Mahasiswa 0719;2015-08-31;0;3400000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;55301;Teknik Informatika;PSUD;SMK;L;Aktif;0;Unknown;0;10;0;Diatas 5 Juta;0;SMA;0;SMP;0;Tani;0;IRT;0;2;0;0.0000;1;0.5000
2529;Mahasiswa 0721;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;20301;Teknik Elektronika;PSUD;SMU;L;Aktif;0;Unknown;0;2;0;3 Juta;0;SMA;0;SMA;0;Wiraswasta;0;IRT;0;1;0;0.0000;0;0.0000
2530;Mahasiswa 0722;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;21412;Teknik Mekatronika;PSUD;SMK;L;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2532;Mahasiswa 0724;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;20301;Teknik Elektronika;UMPCR;UMPCR I;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2533;Mahasiswa 0725;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;20301;Teknik Elektronika;UMPCR;UMPCR II;L;Aktif;0;Ya;0;7;0;1 Juta;0;SMA;0;SMA;0;Wiraswasta;0;IRT;0;1;0;0.0000;0;0.0000
2534;Mahasiswa 0726;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;20401;Teknik Elektronika;UMPCR;UMPCR I;P;Aktif;0;Unknown;1;3;0;1 Juta;0;SMP;0;S1;0;Wiraswasta;0;IRT;0;1;0;0.0000;0;0.0000
2535;Mahasiswa 0727;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;PSUD;SMU;P;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2536;Mahasiswa 0728;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;20301;Teknik Elektronika;UMPCR;UMPCR II;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2539;Mahasiswa 0730;2015-08-31;0;3400000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;20301;Teknik Elektronika;UMPCR;UMPCR II;P;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;2;0;0.0000;1;0.5000
2540;Mahasiswa 0731;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;20301;Teknik Elektronika;PSUD;SMU;L;Aktif;0;Unknown;1;3;0;5 Juta;0;S1;0;S1;0;Wiraswasta;0;-;0;1;0;0.0000;0;0.0000
